"y" "subject" "item"
"87" 0 "24" "2"
"88" 0 "25" "2"
"89" 1 "26" "2"
"90" 0 "27" "2"
"91" 0 "28" "2"
"92" 0 "29" "2"
"93" 1 "30" "2"
"94" 1 "31" "2"
"95" 0 "32" "2"
"96" 1 "33" "2"
"97" 1 "34" "2"
"98" 0 "35" "2"
"99" 0 "36" "2"
"100" 0 "37" "2"
"101" 1 "38" "2"
"102" 1 "39" "2"
"103" 1 "40" "2"
"104" 1 "41" "2"
"105" 0 "42" "2"
"106" 0 "43" "2"
"107" 0 "44" "2"
"108" 0 "45" "2"
"109" 0 "46" "2"
"110" 1 "47" "2"
"111" 1 "48" "2"
"112" 0 "49" "2"
"113" 0 "50" "2"
"114" 1 "51" "2"
"115" 0 "52" "2"
"116" 0 "53" "2"
"117" 0 "54" "2"
"118" 1 "55" "2"
"119" 1 "56" "2"
"120" 1 "57" "2"
"121" 1 "58" "2"
"122" 1 "59" "2"
"123" 0 "60" "2"
"124" 0 "61" "2"
"125" 1 "62" "2"
"126" 1 "63" "2"
"127" 1 "1" "3"
"128" 1 "2" "3"
"129" 1 "3" "3"
"130" 1 "4" "3"
"131" 1 "5" "3"
"132" 1 "6" "3"
"133" 1 "7" "3"
"134" 1 "8" "3"
"135" 1 "9" "3"
"136" 1 "10" "3"
"137" 0 "11" "3"
"138" 1 "12" "3"
"139" 1 "13" "3"
"140" 1 "14" "3"
"141" 1 "15" "3"
"142" 1 "16" "3"
"143" 1 "17" "3"
"144" 1 "18" "3"
"145" 1 "19" "3"
"146" 0 "20" "3"
"147" 1 "21" "3"
"148" 1 "22" "3"
"149" 1 "23" "3"
"150" 1 "24" "3"
"151" 1 "25" "3"
"152" 1 "26" "3"
"153" 1 "27" "3"
"154" 1 "28" "3"
"155" 1 "29" "3"
"156" 1 "30" "3"
"157" 1 "31" "3"
"158" 0 "32" "3"
"159" 1 "33" "3"
"160" 1 "34" "3"
"161" 0 "35" "3"
"162" 1 "36" "3"
"163" 1 "37" "3"
"164" 1 "38" "3"
"165" 1 "39" "3"
"166" 1 "40" "3"
"167" 1 "41" "3"
"168" 1 "42" "3"
"169" 1 "43" "3"
"170" 0 "44" "3"
"171" 0 "45" "3"
"172" 1 "46" "3"
"173" 1 "47" "3"
"174" 1 "48" "3"
"175" 1 "49" "3"
"176" 1 "50" "3"
"177" 1 "51" "3"
"178" 1 "52" "3"
"179" 1 "53" "3"
"180" 1 "54" "3"
"181" 0 "55" "3"
"182" 1 "56" "3"
"183" 1 "57" "3"
"184" 1 "58" "3"
"185" 1 "59" "3"
"186" 1 "60" "3"
"187" 1 "61" "3"
"188" 1 "62" "3"
"189" 1 "63" "3"
"190" 1 "1" "4"
"191" 1 "2" "4"
"192" 0 "3" "4"
"193" 1 "4" "4"
"194" 1 "5" "4"
"195" 0 "6" "4"
"196" 1 "7" "4"
"197" 1 "8" "4"
"198" 1 "9" "4"
"199" 1 "10" "4"
"200" 1 "11" "4"
"201" 1 "12" "4"
"202" 0 "13" "4"
"203" 1 "14" "4"
"204" 1 "15" "4"
"205" 1 "16" "4"
"206" 1 "17" "4"
"207" 1 "18" "4"
"208" 1 "19" "4"
"209" 1 "20" "4"
"210" 1 "21" "4"
"211" 1 "22" "4"
"212" 1 "23" "4"
"213" 1 "24" "4"
"214" 1 "25" "4"
"215" 1 "26" "4"
"216" 1 "27" "4"
"217" 0 "28" "4"
"218" 1 "29" "4"
"219" 1 "30" "4"
"220" 1 "31" "4"
"221" 0 "32" "4"
"222" 1 "33" "4"
"223" 0 "34" "4"
"224" 1 "35" "4"
"225" 1 "36" "4"
"226" 1 "37" "4"
"227" 1 "38" "4"
"228" 1 "39" "4"
"229" 1 "40" "4"
"230" 1 "41" "4"
"231" 1 "42" "4"
"232" 0 "43" "4"
"233" 0 "44" "4"
"234" 1 "45" "4"
"235" 1 "46" "4"
"236" 1 "47" "4"
"237" 1 "48" "4"
"238" 0 "49" "4"
"239" 1 "50" "4"
"240" 1 "51" "4"
"241" 1 "52" "4"
"242" 1 "53" "4"
"243" 1 "54" "4"
"244" 1 "55" "4"
"245" 0 "56" "4"
"246" 1 "57" "4"
"247" 1 "58" "4"
"248" 1 "59" "4"
"249" 1 "60" "4"
"250" 1 "61" "4"
"251" 1 "62" "4"
"252" 1 "63" "4"
"253" 0 "1" "5"
"254" 1 "2" "5"
"255" 0 "3" "5"
"256" 1 "4" "5"
"257" 1 "5" "5"
"258" 1 "6" "5"
"259" 1 "7" "5"
"260" 1 "8" "5"
"261" 0 "9" "5"
"262" 1 "10" "5"
"263" 0 "11" "5"
"264" 1 "12" "5"
"265" 0 "13" "5"
"266" 1 "14" "5"
"267" 0 "15" "5"
"268" 1 "16" "5"
"269" 0 "17" "5"
"270" 0 "18" "5"
"271" 1 "19" "5"
"272" 1 "20" "5"
"273" 1 "21" "5"
"274" 0 "22" "5"
"275" 1 "23" "5"
"276" 1 "24" "5"
"277" 0 "25" "5"
"278" 1 "26" "5"
"279" 1 "27" "5"
"280" 1 "28" "5"
"281" 0 "29" "5"
"282" 1 "30" "5"
"283" 1 "31" "5"
"284" 0 "32" "5"
"285" 0 "33" "5"
"286" 1 "34" "5"
"287" 0 "35" "5"
"288" 0 "36" "5"
"289" 0 "37" "5"
"290" 1 "38" "5"
"291" 1 "39" "5"
"292" 0 "40" "5"
"293" 1 "41" "5"
"294" 1 "42" "5"
"295" 0 "43" "5"
"296" 0 "44" "5"
"297" 0 "45" "5"
"298" 0 "46" "5"
"299" 1 "47" "5"
"300" 1 "48" "5"
"301" 1 "49" "5"
"302" 1 "50" "5"
"303" 0 "51" "5"
"304" 1 "52" "5"
"305" 0 "53" "5"
"306" 1 "54" "5"
"307" 0 "55" "5"
"308" 1 "56" "5"
"309" 0 "57" "5"
"310" 0 "58" "5"
"311" 1 "59" "5"
"312" 1 "60" "5"
"313" 0 "61" "5"
"314" 1 "62" "5"
"315" 1 "63" "5"
"316" 1 "1" "6"
"317" 1 "2" "6"
"318" 0 "3" "6"
"319" 1 "4" "6"
"320" 0 "5" "6"
"321" 1 "6" "6"
"322" 0 "7" "6"
"323" 0 "8" "6"
"324" 1 "9" "6"
"325" 1 "10" "6"
"326" 1 "11" "6"
"327" 1 "12" "6"
"328" 1 "13" "6"
"329" 1 "14" "6"
"330" 1 "15" "6"
"331" 1 "16" "6"
"332" 1 "17" "6"
"333" 1 "18" "6"
"334" 1 "19" "6"
"335" 1 "20" "6"
"336" 1 "21" "6"
"337" 1 "22" "6"
"338" 0 "23" "6"
"339" 1 "24" "6"
"340" 1 "25" "6"
"341" 1 "26" "6"
"342" 0 "27" "6"
"343" 1 "28" "6"
"344" 0 "29" "6"
"345" 1 "30" "6"
"346" 1 "31" "6"
"347" 0 "32" "6"
"348" 1 "33" "6"
"349" 1 "34" "6"
"350" 1 "35" "6"
"351" 0 "36" "6"
"352" 0 "37" "6"
"353" 1 "38" "6"
"354" 1 "39" "6"
"355" 1 "40" "6"
"356" 1 "41" "6"
"357" 1 "42" "6"
"358" 0 "43" "6"
"359" 0 "44" "6"
"360" 1 "45" "6"
"361" 0 "46" "6"
"362" 1 "47" "6"
"363" 1 "48" "6"
"364" 1 "49" "6"
"365" 1 "50" "6"
"366" 1 "51" "6"
"367" 1 "52" "6"
"368" 1 "53" "6"
"369" 1 "54" "6"
"370" 0 "55" "6"
"371" 1 "56" "6"
"372" 1 "57" "6"
"373" 1 "58" "6"
"374" 1 "59" "6"
"375" 1 "60" "6"
"376" 1 "61" "6"
"377" 1 "62" "6"
"378" 0 "63" "6"
"379" 1 "1" "7"
"380" 1 "2" "7"
"381" 1 "3" "7"
"382" 1 "4" "7"
"383" 1 "5" "7"
"384" 1 "6" "7"
"385" 1 "7" "7"
"386" 1 "8" "7"
"387" 1 "9" "7"
"388" 1 "10" "7"
"389" 0 "11" "7"
"390" 1 "12" "7"
"391" 1 "13" "7"
"392" 1 "14" "7"
"393" 0 "15" "7"
"394" 1 "16" "7"
"395" 0 "17" "7"
"396" 1 "18" "7"
"397" 1 "19" "7"
"398" 0 "20" "7"
"399" 1 "21" "7"
"400" 0 "22" "7"
"401" 1 "23" "7"
"402" 1 "24" "7"
"403" 0 "25" "7"
"404" 1 "26" "7"
"405" 0 "27" "7"
"406" 0 "28" "7"
"407" 0 "29" "7"
"408" 1 "30" "7"
"409" 0 "31" "7"
"410" 0 "32" "7"
"411" 0 "33" "7"
"412" 1 "34" "7"
"413" 0 "35" "7"
"414" 1 "36" "7"
"415" 1 "37" "7"
"416" 1 "38" "7"
"417" 1 "39" "7"
"418" 0 "40" "7"
"419" 1 "41" "7"
"420" 0 "42" "7"
"421" 0 "43" "7"
"422" 0 "44" "7"
"423" 0 "45" "7"
"424" 0 "46" "7"
"425" 1 "47" "7"
"426" 1 "48" "7"
"427" 1 "49" "7"
"428" 1 "50" "7"
"429" 0 "51" "7"
"430" 1 "52" "7"
"431" 1 "53" "7"
"432" 1 "54" "7"
"433" 0 "55" "7"
"434" 0 "56" "7"
"435" 1 "57" "7"
"436" 1 "58" "7"
"437" 1 "59" "7"
"438" 0 "60" "7"
"439" 0 "61" "7"
"440" 0 "62" "7"
"441" 0 "63" "7"
"442" 1 "1" "8"
"443" 1 "2" "8"
"444" 0 "3" "8"
"445" 1 "4" "8"
"446" 1 "5" "8"
"447" 1 "6" "8"
"448" 0 "7" "8"
"449" 1 "8" "8"
"450" 1 "9" "8"
"451" 1 "10" "8"
"452" 0 "11" "8"
"453" 1 "12" "8"
"454" 1 "13" "8"
"455" 1 "14" "8"
"456" 0 "15" "8"
"457" 0 "16" "8"
"458" 0 "17" "8"
"459" 1 "18" "8"
"460" 1 "19" "8"
"461" 1 "20" "8"
"462" 1 "21" "8"
"463" 0 "22" "8"
"464" 0 "23" "8"
"465" 0 "24" "8"
"466" 0 "25" "8"
"467" 1 "26" "8"
"468" 0 "27" "8"
"469" 0 "28" "8"
"470" 1 "29" "8"
"471" 0 "30" "8"
"472" 1 "31" "8"
"473" 0 "32" "8"
"474" 0 "33" "8"
"475" 1 "34" "8"
"476" 0 "35" "8"
"477" 1 "36" "8"
"478" 0 "37" "8"
"479" 1 "38" "8"
"480" 0 "39" "8"
"481" 1 "40" "8"
"482" 0 "41" "8"
"483" 0 "42" "8"
"484" 0 "43" "8"
"485" 0 "44" "8"
"486" 1 "45" "8"
"487" 0 "46" "8"
"488" 0 "47" "8"
"489" 1 "48" "8"
"490" 0 "49" "8"
"491" 1 "50" "8"
"492" 0 "51" "8"
"493" 0 "52" "8"
"494" 0 "53" "8"
"495" 1 "54" "8"
"496" 0 "55" "8"
"497" 0 "56" "8"
"498" 0 "57" "8"
"499" 1 "58" "8"
"500" 0 "59" "8"
"501" 0 "60" "8"
"502" 0 "61" "8"
"503" 0 "62" "8"
"504" 0 "63" "8"
"505" 1 "1" "9"
"506" 1 "2" "9"
"507" 1 "3" "9"
"508" 1 "4" "9"
"509" 1 "5" "9"
"510" 1 "6" "9"
"511" 1 "7" "9"
"512" 1 "8" "9"
"513" 1 "9" "9"
"514" 1 "10" "9"
"515" 1 "11" "9"
"516" 1 "12" "9"
"517" 1 "13" "9"
"518" 1 "14" "9"
"519" 1 "15" "9"
"520" 1 "16" "9"
"521" 0 "17" "9"
"522" 1 "18" "9"
"523" 1 "19" "9"
"524" 1 "20" "9"
"525" 1 "21" "9"
"526" 1 "22" "9"
"527" 1 "23" "9"
"528" 1 "24" "9"
"529" 1 "25" "9"
"530" 1 "26" "9"
"531" 1 "27" "9"
"532" 1 "28" "9"
"533" 1 "29" "9"
"534" 1 "30" "9"
"535" 1 "31" "9"
"536" 0 "32" "9"
"537" 1 "33" "9"
"538" 0 "34" "9"
"539" 0 "35" "9"
"540" 1 "36" "9"
"541" 1 "37" "9"
"542" 1 "38" "9"
"543" 1 "39" "9"
"544" 0 "40" "9"
"545" 1 "41" "9"
"546" 1 "42" "9"
"547" 0 "43" "9"
"548" 0 "44" "9"
"549" 0 "45" "9"
"550" 1 "46" "9"
"551" 1 "47" "9"
"552" 1 "48" "9"
"553" 1 "49" "9"
"554" 1 "50" "9"
"555" 1 "51" "9"
"556" 1 "52" "9"
"557" 1 "53" "9"
"558" 1 "54" "9"
"559" 1 "55" "9"
"560" 0 "56" "9"
"561" 1 "57" "9"
"562" 1 "58" "9"
"563" 1 "59" "9"
"564" 1 "60" "9"
"565" 0 "61" "9"
"566" 1 "62" "9"
"567" 1 "63" "9"
"568" 1 "1" "10"
"569" 1 "2" "10"
"570" 1 "3" "10"
"571" 1 "4" "10"
"572" 1 "5" "10"
"573" 1 "6" "10"
"574" 1 "7" "10"
"575" 1 "8" "10"
"576" 1 "9" "10"
"577" 1 "10" "10"
"578" 1 "11" "10"
"579" 1 "12" "10"
"580" 1 "13" "10"
"581" 1 "14" "10"
"582" 1 "15" "10"
"583" 1 "16" "10"
"584" 1 "17" "10"
"585" 1 "18" "10"
"586" 1 "19" "10"
"587" 0 "20" "10"
"588" 1 "21" "10"
"589" 1 "22" "10"
"590" 1 "23" "10"
"591" 1 "24" "10"
"592" 1 "25" "10"
"593" 1 "26" "10"
"594" 1 "27" "10"
"595" 1 "28" "10"
"596" 1 "29" "10"
"597" 1 "30" "10"
"598" 1 "31" "10"
"599" 0 "32" "10"
"600" 1 "33" "10"
"601" 1 "34" "10"
"602" 1 "35" "10"
"603" 1 "36" "10"
"604" 1 "37" "10"
"605" 1 "38" "10"
"606" 1 "39" "10"
"607" 1 "40" "10"
"608" 1 "41" "10"
"609" 1 "42" "10"
"610" 0 "43" "10"
"611" 0 "44" "10"
"612" 0 "45" "10"
"613" 0 "46" "10"
"614" 1 "47" "10"
"615" 1 "48" "10"
"616" 1 "49" "10"
"617" 1 "50" "10"
"618" 1 "51" "10"
"619" 1 "52" "10"
"620" 1 "53" "10"
"621" 1 "54" "10"
"622" 0 "55" "10"
"623" 1 "56" "10"
"624" 1 "57" "10"
"625" 0 "58" "10"
"626" 1 "59" "10"
"627" 1 "60" "10"
"628" 1 "61" "10"
"629" 1 "62" "10"
"630" 1 "63" "10"
