log.dose10 ucciso
"123" 1.7552 0
"124" 1.7552 0
"125" 1.7552 0
"126" 1.7552 0
"127" 1.7552 0
"128" 1.7552 0
"129" 1.7552 0
"130" 1.7552 0
"131" 1.7552 0
"132" 1.7552 0
"133" 1.7552 0
"134" 1.7552 0
"135" 1.7552 0
"136" 1.7552 0
"137" 1.7552 0
"138" 1.7552 0
"139" 1.7552 0
"140" 1.7552 0
"141" 1.7552 0
"142" 1.7552 0
"143" 1.7552 0
"144" 1.7552 0
"145" 1.7552 0
"146" 1.7552 0
"147" 1.7552 0
"148" 1.7552 0
"149" 1.7552 0
"150" 1.7552 0
"151" 1.7552 0
"152" 1.7552 0
"153" 1.7552 0
"154" 1.7552 0
"155" 1.7552 0
"156" 1.7552 0
"157" 1.7552 0
"158" 1.7552 0
"159" 1.7552 0
"160" 1.7552 0
"161" 1.7552 0
"162" 1.7552 0
"163" 1.7552 0
"164" 1.7552 1
"165" 1.7552 1
"166" 1.7552 1
"167" 1.7552 1
"168" 1.7552 1
"169" 1.7552 1
"170" 1.7552 1
"171" 1.7552 1
"172" 1.7552 1
"173" 1.7552 1
"174" 1.7552 1
"175" 1.7552 1
"176" 1.7552 1
"177" 1.7552 1
"178" 1.7552 1
"179" 1.7552 1
"180" 1.7552 1
"181" 1.7552 1
"182" 1.7842 0
"183" 1.7842 0
"184" 1.7842 0
"185" 1.7842 0
"186" 1.7842 0
"187" 1.7842 0
"188" 1.7842 0
"189" 1.7842 0
"190" 1.7842 0
"191" 1.7842 0
"192" 1.7842 0
"193" 1.7842 0
"194" 1.7842 0
"195" 1.7842 0
"196" 1.7842 0
"197" 1.7842 0
"198" 1.7842 0
"199" 1.7842 0
"200" 1.7842 0
"201" 1.7842 0
"202" 1.7842 0
"203" 1.7842 0
"204" 1.7842 0
"205" 1.7842 0
"206" 1.7842 0
"207" 1.7842 0
"208" 1.7842 0
"209" 1.7842 0
"210" 1.7842 1
"211" 1.7842 1
"212" 1.7842 1
"213" 1.7842 1
"214" 1.7842 1
"215" 1.7842 1
"216" 1.7842 1
"217" 1.7842 1
"218" 1.7842 1
"219" 1.7842 1
"220" 1.7842 1
"221" 1.7842 1
"222" 1.7842 1
"223" 1.7842 1
"224" 1.7842 1
"225" 1.7842 1
"226" 1.7842 1
"227" 1.7842 1
"228" 1.7842 1
"229" 1.7842 1
"230" 1.7842 1
"231" 1.7842 1
"232" 1.7842 1
"233" 1.7842 1
"234" 1.7842 1
"235" 1.7842 1
"236" 1.7842 1
"237" 1.7842 1
"238" 1.8113 0
"239" 1.8113 0
"240" 1.8113 0
"241" 1.8113 0
"242" 1.8113 0
"243" 1.8113 0
"244" 1.8113 0
"245" 1.8113 0
"246" 1.8113 0
"247" 1.8113 0
"248" 1.8113 0
"249" 1.8113 1
"250" 1.8113 1
"251" 1.8113 1
"252" 1.8113 1
"253" 1.8113 1
"254" 1.8113 1
"255" 1.8113 1
"256" 1.8113 1
"257" 1.8113 1
"258" 1.8113 1
"259" 1.8113 1
"260" 1.8113 1
"261" 1.8113 1
"262" 1.8113 1
"263" 1.8113 1
"264" 1.8113 1
"265" 1.8113 1
"266" 1.8113 1
"267" 1.8113 1
"268" 1.8113 1
"269" 1.8113 1
"270" 1.8113 1
"271" 1.8113 1
"272" 1.8113 1
"273" 1.8113 1
"274" 1.8113 1
"275" 1.8113 1
"276" 1.8113 1
"277" 1.8113 1
"278" 1.8113 1
"279" 1.8113 1
"280" 1.8113 1
"281" 1.8113 1
"282" 1.8113 1
"283" 1.8113 1
"284" 1.8113 1
"285" 1.8113 1
"286" 1.8113 1
"287" 1.8113 1
"288" 1.8113 1
"289" 1.8113 1
"290" 1.8113 1
"291" 1.8113 1
"292" 1.8113 1
"293" 1.8113 1
"294" 1.8113 1
"295" 1.8113 1
"296" 1.8113 1
"297" 1.8113 1
"298" 1.8113 1
"299" 1.8113 1
"300" 1.8113 1
"301" 1.8369 0
"302" 1.8369 0
"303" 1.8369 0
"304" 1.8369 0
"305" 1.8369 0
"306" 1.8369 0
"307" 1.8369 1
"308" 1.8369 1
"309" 1.8369 1
"310" 1.8369 1
"311" 1.8369 1
"312" 1.8369 1
"313" 1.8369 1
"314" 1.8369 1
"315" 1.8369 1
"316" 1.8369 1
"317" 1.8369 1
"318" 1.8369 1
"319" 1.8369 1
"320" 1.8369 1
"321" 1.8369 1
"322" 1.8369 1
"323" 1.8369 1
"324" 1.8369 1
"325" 1.8369 1
"326" 1.8369 1
"327" 1.8369 1
"328" 1.8369 1
"329" 1.8369 1
"330" 1.8369 1
"331" 1.8369 1
"332" 1.8369 1
"333" 1.8369 1
"334" 1.8369 1
"335" 1.8369 1
"336" 1.8369 1
"337" 1.8369 1
"338" 1.8369 1
"339" 1.8369 1
"340" 1.8369 1
"341" 1.8369 1
"342" 1.8369 1
"343" 1.8369 1
"344" 1.8369 1
"345" 1.8369 1
"346" 1.8369 1
"347" 1.8369 1
"348" 1.8369 1
"349" 1.8369 1
"350" 1.8369 1
"351" 1.8369 1
"352" 1.8369 1
"353" 1.8369 1
"354" 1.8369 1
"355" 1.8369 1
"356" 1.8369 1
"357" 1.8369 1
"358" 1.8369 1
"359" 1.8369 1
"360" 1.861 0
"361" 1.861 1
"362" 1.861 1
"363" 1.861 1
"364" 1.861 1
"365" 1.861 1
"366" 1.861 1
"367" 1.861 1
"368" 1.861 1
"369" 1.861 1
"370" 1.861 1
"371" 1.861 1
"372" 1.861 1
"373" 1.861 1
"374" 1.861 1
"375" 1.861 1
"376" 1.861 1
"377" 1.861 1
"378" 1.861 1
"379" 1.861 1
"380" 1.861 1
"381" 1.861 1
"382" 1.861 1
"383" 1.861 1
"384" 1.861 1
"385" 1.861 1
"386" 1.861 1
"387" 1.861 1
"388" 1.861 1
"389" 1.861 1
"390" 1.861 1
"391" 1.861 1
"392" 1.861 1
"393" 1.861 1
"394" 1.861 1
"395" 1.861 1
"396" 1.861 1
"397" 1.861 1
"398" 1.861 1
"399" 1.861 1
"400" 1.861 1
"401" 1.861 1
"402" 1.861 1
"403" 1.861 1
"404" 1.861 1
"405" 1.861 1
"406" 1.861 1
"407" 1.861 1
"408" 1.861 1
"409" 1.861 1
"410" 1.861 1
"411" 1.861 1
"412" 1.861 1
"413" 1.861 1
"414" 1.861 1
"415" 1.861 1
"416" 1.861 1
"417" 1.861 1
"418" 1.861 1
"419" 1.861 1
"420" 1.861 1
"421" 1.861 1
"422" 1.8839 1
"423" 1.8839 1
"424" 1.8839 1
"425" 1.8839 1
"426" 1.8839 1
"427" 1.8839 1
"428" 1.8839 1
"429" 1.8839 1
"430" 1.8839 1
"431" 1.8839 1
"432" 1.8839 1
"433" 1.8839 1
"434" 1.8839 1
"435" 1.8839 1
"436" 1.8839 1
"437" 1.8839 1
"438" 1.8839 1
"439" 1.8839 1
"440" 1.8839 1
"441" 1.8839 1
"442" 1.8839 1
"443" 1.8839 1
"444" 1.8839 1
"445" 1.8839 1
"446" 1.8839 1
"447" 1.8839 1
"448" 1.8839 1
"449" 1.8839 1
"450" 1.8839 1
"451" 1.8839 1
"452" 1.8839 1
"453" 1.8839 1
"454" 1.8839 1
"455" 1.8839 1
"456" 1.8839 1
"457" 1.8839 1
"458" 1.8839 1
"459" 1.8839 1
"460" 1.8839 1
"461" 1.8839 1
"462" 1.8839 1
"463" 1.8839 1
"464" 1.8839 1
"465" 1.8839 1
"466" 1.8839 1
"467" 1.8839 1
"468" 1.8839 1
"469" 1.8839 1
"470" 1.8839 1
"471" 1.8839 1
"472" 1.8839 1
"473" 1.8839 1
"474" 1.8839 1
"475" 1.8839 1
"476" 1.8839 1
"477" 1.8839 1
"478" 1.8839 1
"479" 1.8839 1
"480" 1.8839 1
"481" 1.8839 1
